"Year","January","February","March","April","May","June","July","August","September","October","November","December","Min","Max","Mean"
1881,-5.4055997298376,0.0574337920698405,2.79940692653983,5.55034705263422,11.8603109658585,15.1058799396042,18.6588954041691,15.8942138357759,12.0724986952384,4.96347783858913,5.73310829102743,0.934606743454562,-5.4055997298376,18.6588954041691,7.35204831292695
1882,0.432475586305445,1.71399765003363,6.1579512312205,7.72834137587461,12.008456808902,14.3608281259158,16.782337853716,14.8863512167076,13.1375623424867,8.92973014459829,3.93519535142045,0.620919724367365,0.432475586305445,16.782337853716,8.39117895096236
1883,-0.287403956986126,2.47607555616336,-1.46087892091331,6.08904725888424,12.4243425257394,16.2833417526507,16.6742860093273,15.9215200542558,13.3830570773898,8.56898546760703,4.35881251343137,0.861242579604413,-1.46087892091331,16.6742860093273,7.94103565976283
1884,2.91879638183325,2.85378576232965,4.87003988244586,6.08426694724856,12.7140989609353,13.1155787141051,18.2427638060524,17.0230137620952,14.278960544567,7.90531505457671,1.75119745020276,1.71986614680871,1.71986614680871,18.2427638060524,8.62314028443338
1885,-2.78693787101978,3.15399647784138,2.67387713750652,9.28644164296699,9.9812532967907,16.7188212211452,17.3174257541801,14.5605267050513,12.7589911332029,7.42861070099887,2.70714227902083,-0.256024928621865,-2.78693787101978,17.3174257541801,7.7953436290886
1886,-1.22725570257575,-2.70809398749103,0.591408947175993,8.75503079795592,12.7490266617918,14.3196682695931,16.8429025154688,16.9341716368548,15.1920022997296,9.50290564131475,5.1165826130398,0.813856149683368,-2.70809398749103,16.9341716368548,8.07351715354509
1887,-3.71078472689316,-0.692233109965588,1.26619146364948,7.12569194229465,10.0662405840867,15.5016301845086,18.7620326930001,15.7181081375261,12.1891393597039,5.49300396591712,3.07041777490001,-0.781219247396756,-3.71078472689316,18.7620326930001,7.00068491844426
1888,-1.88491583938733,-2.40362207405464,0.860718721305711,5.73542337072255,12.1430959271901,15.8805823562739,14.67797701945,15.0753995919655,12.5498379862854,6.4464444897196,3.2900366449625,0.621864734596138,-2.40362207405464,15.8805823562739,6.91607024408578
1889,-2.37979224287823,-2.47076775801486,0.455886777392319,6.93683976969213,15.9011244672805,18.6879188842963,16.3855993391068,15.3658068729539,11.1740605018657,8.04920360700301,2.76078654100021,-1.51120978613073,-2.47076775801486,18.6879188842963,7.44628808113059
1890,2.11220977775793,-2.43089619679433,4.2642827439346,6.85571234402168,13.6706898909582,13.9064205435065,15.4757928345562,16.5616829889786,13.1371637971214,7.22475753761481,2.92902068919322,-5.27063267681264,-5.27063267681264,16.5616829889786,7.36968368950302
1891,-4.50617773225454,-0.516567262903185,2.72187617742525,5.09415187704261,12.7059745522644,14.7864555976366,16.2084674144509,14.9819418201913,13.8391355919431,9.92423786571701,2.70301923232571,1.70273511525162,-4.50617773225454,16.2084674144509,7.47043752075757
1892,-1.69610078620609,0.679124372388732,0.650577862870252,7.05624401693539,12.2319048403167,15.1284719915825,16.0261599819147,18.103456850766,13.7790640882158,7.45266994694435,3.04077498653374,-1.85019020214734,-1.85019020214734,18.103456850766,7.55017982917624
1893,-7.20302565147375,1.97999821380228,4.47759661515533,8.89461349751467,12.3327150484367,15.8588111179644,17.4407989885655,17.0195429566596,12.4589517810345,9.81316232350832,2.15693058668222,0.309784177079176,-7.20302565147375,17.4407989885655,7.96165663791074
1894,-1.78855437995216,1.75478073027577,4.80636221298733,9.97181212549155,11.3567368958675,14.2503035140649,17.8537514338423,15.4258769812142,11.0530436529976,8.0137548387817,4.886352891268,0.536783392826741,-1.78855437995216,17.8537514338423,8.17675035747212
1895,-4.05088430741579,-6.70339405475254,1.49741308334008,8.58873439519066,12.2638373108793,15.7535624876152,17.252115109279,16.501031808274,15.2805404922649,7.07655336405221,4.86749622526186,-0.0440523802480025,-6.70339405475254,17.252115109279,7.35691279447842
1896,-0.741817400356682,-0.0859878371099325,5.42630762231966,5.92686553001231,10.7432195655632,16.6962196799915,17.0531689659311,14.281112912814,12.7714735852058,8.57159108352428,1.24443390091626,-0.424729070088724,-0.741817400356682,17.0531689659311,7.62182154489357
1897,-2.83632791240933,1.28974303871304,5.1431363957321,7.25271013639294,10.701406072514,17.0384015763195,16.5177319196323,17.1387437448193,12.3089614097565,7.34985556916911,2.78718849688671,1.29074219306006,-2.83632791240933,17.1387437448193,7.99852438671553
1898,2.34068149024708,1.24135996628552,3.00768316201651,7.34569037937165,11.3521809753198,14.8657661253185,14.3915730540911,18.0566087920001,13.6496451327508,8.91089161966269,4.69344325891773,3.0601351370209,1.24135996628552,18.0566087920001,8.57630492441686
1899,2.1706742617282,2.19009106817414,2.70918077716346,7.1890609344605,11.1067163825031,14.8079935138695,17.3388241237165,16.8278138893618,12.5075491971879,7.79817807833035,6.41649972230207,-3.21037027320452,-3.21037027320452,17.3388241237165,8.15435097296608
1900,0.790864156872814,1.28474698788456,0.694773418028875,6.5192702824146,10.9252414855583,16.0227790445517,18.4635049106483,16.209174078922,13.8152915270037,8.66929135396578,4.75426524477886,2.85859230874428,0.694773418028875,18.4635049106483,8.41731623328114
1901,-3.734629070926,-3.99733996087111,2.26682472655825,8.05520216129924,12.9062329927464,15.6744439761878,18.5317128240623,16.3866501257316,13.4095689960732,9.08725771204818,2.71595325743854,0.960516657689162,-3.99733996087111,18.5317128240623,7.68853286650312
1902,2.78565934418635,-1.10459722636986,3.56099586104498,7.89347423828436,8.63212504500381,15.365394372919,15.8323885091668,14.7613667761643,12.0555501907603,7.06591851031111,1.62663695252342,-1.81368171631273,-1.81368171631273,15.8323885091668,7.22176923814016
1903,0.391372944128294,3.78154969397409,5.85221865292783,4.67735854849108,12.6589263835357,14.8622794115595,16.2472884681401,15.4515479915044,13.5221798310369,9.66485125717619,4.47290756705917,-0.810313617245739,-0.810313617245739,16.2472884681401,8.39768059435729
1904,-1.30138318685582,1.24447269489789,3.17589414545789,8.89988473442868,12.337595275507,15.2562409469081,18.786786044214,16.5539705221558,11.8879049296266,8.28887450007396,3.31140794243978,2.39411308306098,-1.30138318685582,18.786786044214,8.40298013599291
1905,-1.77322377987346,1.43257382717979,4.68192674914807,5.93490621066528,12.1009651049531,17.0783390035808,18.6651487707332,16.500840071113,12.7593090205776,4.46879512591299,3.12430763906526,1.03053142172965,-1.77322377987346,18.6651487707332,8.00036826373209
1906,1.07719416248259,0.460413393133745,2.37067202898106,7.99862267410544,13.1629562130376,14.7633514092821,17.2681618630042,16.5025665428422,12.5167559300369,9.89977951621951,6.26808762416167,-2.17403873258108,-2.17403873258108,17.2681618630042,8.34287688539216
1907,-0.28905730624639,-1.38934616790817,2.78171547544955,6.14605654990329,12.9880321962138,14.645746756237,14.4892663471978,15.7181907491704,13.1377981764038,11.1982947393686,3.40243536894751,1.56337736496764,-1.38934616790817,15.7181907491704,7.86604252080874
1908,-2.28103951125165,1.34396279126884,2.47348556947611,5.42047317493853,13.2378796716745,17.0867011998225,17.2059592021278,14.486016304636,12.0869057752796,8.09648760964882,1.51988177603872,-0.476854505823284,-2.28103951125165,17.2059592021278,7.51665492148638
1909,-1.62021892085749,-2.33192884234852,1.68179697072031,7.84799345805087,10.9540305272353,14.0914549975858,15.03829468355,16.2538025079332,12.7169599473072,10.2167394635267,2.01820302927969,1.9054596249543,-2.33192884234852,16.2538025079332,7.39771562057811
1910,1.43999854871436,2.56428665124211,3.84224580871497,7.2822655685272,12.3859803015883,16.5654616344267,15.5253617748107,15.8322832909577,12.0216121550755,9.13335584686704,2.19704970374236,2.65032528334957,1.43999854871436,16.5654616344267,8.45335221400137
1911,-1.06435754096393,1.39005199509912,4.10566866590567,7.28381369957829,13.2093557687209,14.9769519094174,19.2248049834916,19.4522652615245,14.3841519607706,8.53657630552912,4.74469541142552,3.0046315548572,-1.06435754096393,19.4522652615245,9.10405083127967
1912,-1.44359299252309,2.387969121107,6.15343382556105,6.92777509538017,11.9494062288063,15.5904622623869,17.9467902864336,13.9636938568753,9.06652163113343,6.51511597725947,2.57349170953076,3.11871237472195,-1.44359299252309,17.9467902864336,7.89581494805607
1913,-0.146913645713265,1.41516705135039,6.14107194190392,7.82439611167085,12.4209392609049,14.7824991696972,14.6148765151283,14.8614323631117,12.6310530472812,9.50514704035411,6.81769256746385,2.01665768916252,-0.146913645713265,14.8614323631117,8.57366825935963
1914,-3.03330644733647,3.18801042692916,4.8162666793189,9.82523953190456,10.9198636349682,14.5562074557009,17.543852828472,17.2113088642853,12.381435265683,8.2241460439907,3.43825588956833,3.56407286570305,-3.03330644733647,17.543852828472,8.55294608659896
